NCM*,Alíquota(%),Descrição,Início de Vigência,Categoria
8405.10.00,20,"-Geradores de gás de ar (gás pobre) ou de gás de água, mesmo com depuradores; geradores de acetileno e geradores semelhantes de gás, operados a água, mesmo com depuradores",06/02/2026,Industrial/Maquinário
8405.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8406.10.00,20,-Turbinas para propulsão de embarcações,06/02/2026,Industrial/Maquinário
8406.81.00,20,--De potência superior a 40 MW,06/02/2026,Industrial/Maquinário
8406.82.00,20,--De potência não superior a 40 MW,06/02/2026,Industrial/Maquinário
8406.90.11,"7,2","De turbinas a reação, de múltiplos estágios",01/03/2026,Industrial/Maquinário
8406.90.19,20,Outras,06/02/2026,Industrial/Maquinário
8406.90.21,"7,2",Fixas (de estator),01/03/2026,Industrial/Maquinário
8406.90.29,20,Outras,06/02/2026,Industrial/Maquinário
8406.90.90,20,Outras,06/02/2026,Industrial/Maquinário
8407.10.00,"7,2",-Motores para aviação,01/03/2026,Industrial/Maquinário
8407.21.10,20,Monocilíndricos,06/02/2026,Industrial/Maquinário
8407.21.90,20,Outros,06/02/2026,Industrial/Maquinário
8407.29.10,20,Monocilíndricos,06/02/2026,Industrial/Maquinário
8407.29.90,20,Outros,06/02/2026,Industrial/Maquinário
8408.10.10,20,Do tipo fora de borda,06/02/2026,Industrial/Maquinário
8408.10.90,20,Outros,06/02/2026,Industrial/Maquinário
8408.90.10,"7,2","Estacionários, de potência normal ISO superior a 497,5 kW (663 HP), segundo Norma ISO 3046/1",01/03/2026,Industrial/Maquinário
8409.10.00,"7,2",-De motores para aviação,01/03/2026,Industrial/Maquinário
8410.11.00,20,--De potência não superior a 1.000 kW,06/02/2026,Industrial/Maquinário
8410.12.00,20,"--De potência superior a 1.000 kW, mas não superior a 10.000 kW",06/02/2026,Industrial/Maquinário
8410.13.00,20,--De potência superior a 10.000 kW,06/02/2026,Industrial/Maquinário
8410.90.00,20,"-Partes, incluindo os reguladores",06/02/2026,Industrial/Maquinário
8411.11.00,"7,2",--De empuxo (impulso*) não superior a 25 kN,01/03/2026,Industrial/Maquinário
8411.12.00,"7,2",--De empuxo (impulso*) superior a 25 kN,01/03/2026,Industrial/Maquinário
8411.21.00,"7,2",--De potência não superior a 1.100 kW,01/03/2026,Industrial/Maquinário
8411.22.00,"7,2",--De potência superior a 1.100 kW,01/03/2026,Industrial/Maquinário
8411.81.00,"7,2",--De potência não superior a 5.000 kW,01/03/2026,Industrial/Maquinário
8411.82.00,"7,2",--De potência superior a 5.000 kW,01/03/2026,Industrial/Maquinário
8411.91.00,"7,2",--De turborreatores ou de turbopropulsores,01/03/2026,Industrial/Maquinário
8411.99.00,"7,2",--Outras,01/03/2026,Industrial/Maquinário
8412.10.00,"7,2","-Propulsores a reação, excluindo os turborreatores",01/03/2026,Industrial/Maquinário
8412.80.00,20,-Outros,06/02/2026,Industrial/Maquinário
8412.90.10,20,De propulsores a reação,06/02/2026,Industrial/Maquinário
8412.90.20,20,De máquinas a vapor de movimento retilíneo (cilindros),06/02/2026,Industrial/Maquinário
8413.11.00,20,"--Bombas para distribuição de combustíveis ou lubrificantes, do tipo utilizado em postos (estações) de serviço ou garagens",06/02/2026,Industrial/Maquinário
8413.40.00,20,-Bombas para concreto (betão),06/02/2026,Industrial/Maquinário
8413.50.10,20,"De potência superior a 3,73 kW (5 HP), mas não superior a 447,42 kW (600 HP), excluídas as para oxigênio líquido",06/02/2026,Industrial/Maquinário
8413.82.00,20,--Elevadores de líquidos,06/02/2026,Industrial/Maquinário
8413.91.10,20,"Hastes de bombeamento, do tipo utilizado para extração de petróleo",06/02/2026,Industrial/Maquinário
8414.30.19,"7,2",Outros,01/03/2026,Industrial/Maquinário
8414.40.10,20,De deslocamento alternativo,06/02/2026,Industrial/Maquinário
8414.40.20,20,De parafuso,06/02/2026,Industrial/Maquinário
8414.59.10,"7,2",Microventiladores com área de carcaça inferior a 90 cm2,01/03/2026,Industrial/Maquinário
8414.80.11,20,"Estacionários, de pistão",06/02/2026,Industrial/Maquinário
8414.80.12,20,De parafuso,06/02/2026,Industrial/Maquinário
8414.80.13,20,De lóbulos paralelos (tipo Roots),06/02/2026,Industrial/Maquinário
8414.80.29,20,Outros,06/02/2026,Industrial/Maquinário
8414.80.31,20,De pistão,06/02/2026,Industrial/Maquinário
8414.80.32,20,De parafuso,06/02/2026,Industrial/Maquinário
8414.80.38,"7,2",Outros compressores centrífugos,01/03/2026,Industrial/Maquinário
8414.90.32,20,Anéis de segmento,06/02/2026,Industrial/Maquinário
8415.10.90,20,Outros,06/02/2026,Industrial/Maquinário
8415.81.90,20,Outros,06/02/2026,Industrial/Maquinário
8415.82.90,20,Outros,06/02/2026,Industrial/Maquinário
8415.83.00,20,--Sem dispositivo de refrigeração,06/02/2026,Industrial/Maquinário
8416.10.00,20,-Queimadores de combustíveis líquidos,06/02/2026,Industrial/Maquinário
8416.20.10,20,De gases,06/02/2026,Industrial/Maquinário
8416.20.90,20,Outros,06/02/2026,Industrial/Maquinário
8416.30.00,20,"-Fornalhas automáticas, incluindo as antefornalhas, grelhas mecânicas, descarregadores mecânicos de cinzas e dispositivos semelhantes",06/02/2026,Industrial/Maquinário
8416.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8417.10.10,20,Fornos industriais para fusão de metais,06/02/2026,Industrial/Maquinário
8417.10.20,20,Fornos industriais para tratamento térmico de metais,06/02/2026,Industrial/Maquinário
8417.10.90,20,Outros,06/02/2026,Industrial/Maquinário
8417.20.00,20,"-Fornos de padaria, pastelaria ou para a indústria de bolachas e biscoitos",06/02/2026,Industrial/Maquinário
8417.80.10,20,Fornos industriais para cerâmica,06/02/2026,Industrial/Maquinário
8417.80.20,"7,2",Fornos industriais para fusão de vidro,01/03/2026,Industrial/Maquinário
8417.80.90,20,Outros,06/02/2026,Industrial/Maquinário
8417.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8418.50.10,20,Congeladores (freezers),06/02/2026,Industrial/Maquinário
8418.50.90,20,Outros,06/02/2026,Industrial/Maquinário
8418.61.00,20,"--Bombas de calor, exceto as máquinas e aparelhos de ar-condicionado da posição 84.15",06/02/2026,Industrial/Maquinário
8418.69.10,20,Máquinas não domésticas para preparação de sorvetes,06/02/2026,Industrial/Maquinário
8418.69.20,20,Resfriadores de leite,06/02/2026,Industrial/Maquinário
8418.69.91,"7,2","Resfriadores de água, de absorção por brometo de lítio",01/03/2026,Industrial/Maquinário
8418.69.99,20,Outros,06/02/2026,Industrial/Maquinário
8419.20.00,20,-Esterilizadores médico-cirúrgicos ou de laboratório,06/02/2026,Médico/Hospitalar
8419.33.00,20,"--Aparelhos de liofilização, aparelhos de criodessecação e secadores por pulverização",06/02/2026,Industrial/Maquinário
8419.34.00,20,"--Outros, para produtos agrícolas",06/02/2026,Industrial/Maquinário
8419.35.00,20,"--Outros, para madeiras, pastas de papel, papel ou cartão",06/02/2026,Industrial/Maquinário
8419.39.00,20,--Outros,06/02/2026,Industrial/Maquinário
8419.40.10,20,De destilação de água,06/02/2026,Industrial/Maquinário
8419.40.20,20,De destilação ou retificação de álcoois e outros fluidos voláteis ou de hidrocarbonetos,06/02/2026,Industrial/Maquinário
8419.40.90,20,Outros,06/02/2026,Industrial/Maquinário
8419.50.22,20,De grafita,06/02/2026,Industrial/Maquinário
8419.60.00,20,-Aparelhos e dispositivos para liquefação do ar ou de outros gases,06/02/2026,Industrial/Maquinário
8419.81.10,20,Autoclaves,06/02/2026,Industrial/Maquinário
8419.81.90,20,Outros,06/02/2026,Industrial/Maquinário
8419.89.11,"7,2","De alimentos, mediante Ultra Alta Temperatura (UHT - Ultra High Temperature) por injeção direta de vapor, com capacidade igual ou superior a 6.500 l/h",01/03/2026,Industrial/Maquinário
8419.89.19,20,Outros,06/02/2026,Industrial/Maquinário
8419.89.20,20,Estufas,06/02/2026,Industrial/Maquinário
8419.89.30,20,Torrefadores,06/02/2026,Industrial/Maquinário
8419.89.91,20,"Recipiente refrigerador, com dispositivo de circulação de fluido refrigerante",06/02/2026,Industrial/Maquinário
8419.89.99,20,Outros,06/02/2026,Industrial/Maquinário
8419.90.20,20,De colunas de destilação ou de retificação,06/02/2026,Industrial/Maquinário
8419.90.31,"7,2","Placa corrugada, de aço inoxidável ou de alumínio, com superfície de troca térmica de área superior a 0,4 m2",01/03/2026,Industrial/Maquinário
8419.90.39,20,Outras,06/02/2026,Industrial/Maquinário
8419.90.40,20,De aparelhos ou dispositivos das subposições 8419.81 ou 8419.89,06/02/2026,Industrial/Maquinário
8419.90.90,20,Outras,06/02/2026,Industrial/Maquinário
8420.10.10,20,Para papel ou cartão,06/02/2026,Industrial/Maquinário
8420.10.90,20,Outros,06/02/2026,Industrial/Maquinário
8420.91.00,20,--Cilindros,06/02/2026,Industrial/Maquinário
8420.99.00,20,--Outras,06/02/2026,Industrial/Maquinário
8421.11.10,"7,2",Com capacidade de processamento de leite igual ou superior a 30.000 l/h,01/03/2026,Informática/TI
8421.11.90,15,Outras,06/02/2026,Industrial/Maquinário
8421.12.90,20,Outros,06/02/2026,Industrial/Maquinário
8421.19.10,20,"Centrifugadores para laboratórios de análises, ensaios ou pesquisas científicas",06/02/2026,Industrial/Maquinário
8421.19.90,20,Outros,06/02/2026,Industrial/Maquinário
8421.21.00,20,--Para filtrar ou depurar água,06/02/2026,Industrial/Maquinário
8421.22.00,20,"--Para filtrar ou depurar bebidas, exceto água",06/02/2026,Industrial/Maquinário
8421.29.11,"7,2",Capilares,01/03/2026,Industrial/Maquinário
8421.29.19,"7,2",Outros,01/03/2026,Industrial/Maquinário
8421.29.20,20,Aparelho de osmose inversa,06/02/2026,Industrial/Maquinário
8421.29.30,20,Filtros-prensa,06/02/2026,Industrial/Maquinário
8421.39.10,20,Filtros eletrostáticos,06/02/2026,Industrial/Maquinário
8421.39.30,"7,2","Concentradores de oxigênio por depuração do ar, com capacidade de saída inferior ou igual a 6 l/min",01/03/2026,Industrial/Maquinário
8421.91.91,"7,2","Tambores rotativos com pratos ou discos separadores, de peso superior a 300 kg",01/03/2026,Industrial/Maquinário
8421.91.99,20,Outras,06/02/2026,Industrial/Maquinário
8421.99.20,"7,2",Do tipo utilizado em linhas de sangue para hemodiálise,01/03/2026,Médico/Hospitalar
8421.99.91,"7,2",Cartuchos de membrana de aparelhos de osmose inversa,01/03/2026,Industrial/Maquinário
8422.19.00,20,--Outras,06/02/2026,Industrial/Maquinário
8422.20.00,20,-Máquinas e aparelhos para limpar ou secar garrafas ou outros recipientes,06/02/2026,Industrial/Maquinário
8422.30.10,20,"Máquinas e aparelhos para encher, fechar, arrolhar, capsular ou rotular garrafas",06/02/2026,Industrial/Maquinário
8422.30.21,20,Para encher caixas ou sacos com pó ou grãos,06/02/2026,Industrial/Maquinário
8422.30.22,"7,2","Para encher e fechar embalagens confeccionadas com papel ou cartão dos subitens 4811.51.22 ou 4811.59.23, mesmo com dispositivo de rotulagem",01/03/2026,Industrial/Maquinário
8422.30.23,"7,2","Para encher e fechar recipientes tubulares flexíveis (bisnagas), com capacidade igual ou superior a 100 unidades por minuto",01/03/2026,Industrial/Maquinário
8422.30.29,20,Outros,06/02/2026,Industrial/Maquinário
8422.30.30,20,Para gaseificar bebidas,06/02/2026,Industrial/Maquinário
8422.40.10,"7,2","Horizontais, próprias para empacotamento de massas alimentícias longas (comprimento superior a 200 mm) em pacotes tipo almofadas (pillow pack), com capacidade de produção superior a 100 pacotes por minuto e controlador lógico programável (CLP)",01/03/2026,Industrial/Maquinário
8422.40.20,"7,2","Automática, para embalar tubos ou barras de metal, em atados de peso inferior ou igual a 2.000 kg e comprimento inferior ou igual a 12 m",01/03/2026,Industrial/Maquinário
8422.40.30,"7,2","De empacotar embalagens confeccionadas com papel ou cartão dos subitens 4811.51.22 ou 4811.59.23 em caixas ou bandejas de papel ou cartão dobráveis, com capacidade igual ou superior a 5.000 embalagens por hora",01/03/2026,Industrial/Maquinário
8422.40.90,20,Outros,06/02/2026,Industrial/Maquinário
8422.90.90,20,Outras,06/02/2026,Industrial/Maquinário
8423.20.00,20,-Básculas de pesagem contínua em transportadores,06/02/2026,Industrial/Maquinário
8423.30.11,20,"Com aparelhos periféricos, que constituam unidade funcional",06/02/2026,Industrial/Maquinário
8423.30.19,20,Outras,06/02/2026,Industrial/Maquinário
8423.30.90,20,Outras,06/02/2026,Industrial/Maquinário
8423.81.10,20,"De mesa, com dispositivo registrador ou impressor de etiquetas",06/02/2026,Industrial/Maquinário
8423.81.90,20,Outros,06/02/2026,Industrial/Maquinário
8423.82.00,20,"--De capacidade superior a 30 kg, mas não superior a 5.000 kg",06/02/2026,Industrial/Maquinário
8423.89.00,20,--Outros,06/02/2026,Industrial/Maquinário
8423.90.29,20,Outras,06/02/2026,Industrial/Maquinário
8424.20.00,20,-Pistolas aerográficas e aparelhos semelhantes,06/02/2026,Industrial/Maquinário
8424.30.10,20,"Máquinas e aparelhos de desobstrução de tubulação ou de limpeza, por jato de água",06/02/2026,Industrial/Maquinário
8424.30.20,"7,2",De jato de areia própria para desgaste localizado de peças de vestuário,01/03/2026,Industrial/Maquinário
8424.30.30,"7,2",Perfuradoras por jato de água com pressão de trabalho máxima igual ou superior a 10 MPa,01/03/2026,Industrial/Maquinário
8424.30.90,20,Outros,06/02/2026,Industrial/Maquinário
8424.41.00,20,--Pulverizadores portáteis,06/02/2026,Industrial/Maquinário
8424.82.21,20,Por aspersão,06/02/2026,Industrial/Maquinário
8424.82.29,20,Outros,06/02/2026,Industrial/Maquinário
8424.82.90,20,Outros,06/02/2026,Industrial/Maquinário
8424.89.20,"7,2","Aparelhos automáticos para projetar lubrificantes sobre pneumáticos, que contenham uma estação de secagem por ar preaquecido e dispositivos para agarrar e movimentar pneumáticos",01/03/2026,Industrial/Maquinário
8425.11.00,20,--De motor elétrico,06/02/2026,Industrial/Maquinário
8425.19.90,20,Outros,06/02/2026,Industrial/Maquinário
8425.31.10,20,Com capacidade inferior ou igual a 100 t,06/02/2026,Industrial/Maquinário
8425.31.90,20,Outros,06/02/2026,Industrial/Maquinário
8425.39.10,20,Com capacidade inferior ou igual a 100 t,06/02/2026,Industrial/Maquinário
8425.39.90,20,Outros,06/02/2026,Industrial/Maquinário
8425.41.00,20,"--Elevadores fixos de veículos, para garagens (oficinas)",06/02/2026,Industrial/Maquinário
8426.11.00,20,"--Pontes e vigas, rolantes, de suportes fixos",06/02/2026,Industrial/Maquinário
8426.12.00,20,--Pórticos móveis de pneumáticos e carros-pórticos,06/02/2026,Industrial/Maquinário
8426.19.00,20,--Outros,06/02/2026,Industrial/Maquinário
8426.20.00,20,-Guindastes de torre,06/02/2026,Industrial/Maquinário
8426.30.00,20,-Guindastes de pórtico,06/02/2026,Industrial/Maquinário
8426.41.10,"7,2","Com deslocamento em sentido longitudinal, transversal e diagonal (tipo caranguejo) com capacidade de carga igual ou superior a 60 t",01/03/2026,Industrial/Maquinário
8426.41.90,20,Outros,06/02/2026,Industrial/Maquinário
8426.49.10,"7,2","De lagartas (esteiras), com capacidade de elevação igual ou superior a 70 t",01/03/2026,Industrial/Maquinário
8426.49.90,20,Outros,06/02/2026,Industrial/Maquinário
8426.99.00,20,--Outros,06/02/2026,Industrial/Maquinário
8427.10.11,20,"De capacidade de carga superior a 6,5 t",06/02/2026,Industrial/Maquinário
8427.10.19,20,Outras,06/02/2026,Industrial/Maquinário
8427.10.90,20,Outros,06/02/2026,Industrial/Maquinário
8427.20.10,20,"Empilhadeiras com capacidade de carga superior a 6,5 t",06/02/2026,Industrial/Maquinário
8427.20.90,20,Outros,06/02/2026,Industrial/Maquinário
8427.90.00,20,-Outros,06/02/2026,Industrial/Maquinário
8428.10.00,20,-Elevadores e monta-cargas,06/02/2026,Industrial/Maquinário
8428.20.10,20,"Transportadores tubulares (transvasadores) móveis, acionados com motor de potência superior a 90 kW (120 HP)",06/02/2026,Industrial/Maquinário
8428.20.90,20,Outros,06/02/2026,Industrial/Maquinário
8428.31.00,20,--Especialmente concebidos para uso subterrâneo,06/02/2026,Industrial/Maquinário
8428.32.00,20,"--Outros, de caçamba (balde*)",06/02/2026,Industrial/Maquinário
8428.33.00,20,"--Outros, de correia",06/02/2026,Industrial/Maquinário
8428.39.10,20,De correntes,06/02/2026,Industrial/Maquinário
8428.39.20,20,De rolos motores,06/02/2026,Industrial/Maquinário
8428.39.30,"7,2","De pinças laterais, do tipo utilizado para o transporte de jornais",01/03/2026,Industrial/Maquinário
8428.39.90,20,Outros,06/02/2026,Industrial/Maquinário
8428.40.00,20,"-Escadas e tapetes, rolantes",06/02/2026,Industrial/Maquinário
8428.60.00,20,-Teleféricos (incluindo as telecadeiras e os telesquis); mecanismos de tração para funiculares,06/02/2026,Telefonia/Comunicação
8428.70.00,20,-Robôs industriais,06/02/2026,Industrial/Maquinário
8428.90.10,20,"Do tipo utilizado para desembarque de botes salva-vidas, motorizados ou providos de dispositivo de compensação de inclinação",06/02/2026,Industrial/Maquinário
8428.90.20,"7,2","Transportadores-elevadores (transelevadores) automáticos, de deslocamento horizontal sobre guias",01/03/2026,Industrial/Maquinário
8428.90.30,"7,2","Máquina para formação de pilhas de jornais, dispostos em sentido alternado, de capacidade igual ou superior a 80.000 exemplares/h",01/03/2026,Industrial/Maquinário
8428.90.90,20,Outros,06/02/2026,Industrial/Maquinário
8429.11.10,"7,2","De potência no volante igual ou superior a 387,76 kW (520 HP)",01/03/2026,Industrial/Maquinário
8429.19.10,"7,2","Bulldozers de potência no volante igual ou superior a 234,90 kW (315 HP)",01/03/2026,Industrial/Maquinário
8429.20.10,"7,2","Motoniveladores articulados, de potência no volante igual ou superior a 205,07 kW (275 HP)",01/03/2026,Industrial/Maquinário
8429.51.11,"7,2",Do tipo utilizado em minas subterrâneas,01/03/2026,Industrial/Maquinário
8429.51.21,"7,2","De potência no volante igual ou superior a 454,13 kW (609 HP)",01/03/2026,Industrial/Maquinário
8429.51.91,"7,2","De potência no volante igual ou superior a 297,5 kW (399 HP)",01/03/2026,Industrial/Maquinário
8429.51.92,"7,2","De potência no volante inferior ou igual a 43,99 kW (59 HP)",01/03/2026,Industrial/Maquinário
8429.52.11,"7,2","De potência no volante igual ou superior a 484,7 kW (650 HP)",01/03/2026,Industrial/Maquinário
8429.52.12,"7,2","De potência no volante inferior ou igual a 40,3 kW (54 HP)",01/03/2026,Industrial/Maquinário
8429.52.20,"7,2","Infraestruturas motoras, próprias para receber equipamentos das subposições 8430.49, 8430.61 ou 8430.69, mesmo com dispositivo de deslocamento sobre trilhos",01/03/2026,Industrial/Maquinário
8429.52.90,20,Outras,06/02/2026,Industrial/Maquinário
8430.10.00,20,-Bate-estacas e arranca-estacas,06/02/2026,Industrial/Maquinário
8430.20.00,"7,2",-Limpa-neves,01/03/2026,Industrial/Maquinário
8430.39.90,"12,6",Outras,06/02/2026,Industrial/Maquinário
8430.49.10,10,Perfuratriz de percussão,06/02/2026,Industrial/Maquinário
8430.49.90,"12,6",Outras,06/02/2026,Industrial/Maquinário
8430.61.00,20,--Máquinas de comprimir ou de compactar,06/02/2026,Industrial/Maquinário
8430.69.11,"7,2",Com capacidade de carga superior a 4 m3,01/03/2026,Industrial/Maquinário
8431.10.90,20,Outras,06/02/2026,Industrial/Maquinário
8431.20.19,20,De outras empilhadeiras,06/02/2026,Industrial/Maquinário
8431.31.90,20,Outras,06/02/2026,Industrial/Maquinário
8431.39.00,20,--Outras,06/02/2026,Industrial/Maquinário
8431.43.10,"7,2",De máquinas de sondagem rotativas,01/03/2026,Industrial/Maquinário
8431.43.90,20,Outras,06/02/2026,Industrial/Maquinário
8431.49.10,20,De máquinas ou aparelhos da posição 84.26,06/02/2026,Industrial/Maquinário
8432.10.00,20,-Arados e charruas,06/02/2026,Industrial/Maquinário
8432.21.00,20,--Grades de discos,06/02/2026,Industrial/Maquinário
8432.29.00,20,--Outros,06/02/2026,Industrial/Maquinário
8432.31.10,20,Semeadores-adubadores,06/02/2026,Industrial/Maquinário
8432.31.90,20,Outros,06/02/2026,Industrial/Maquinário
8432.39.10,20,Semeadores-adubadores,06/02/2026,Industrial/Maquinário
8432.39.90,20,Outros,06/02/2026,Industrial/Maquinário
8432.41.00,20,--Espalhadores de estrume,06/02/2026,Industrial/Maquinário
8432.42.00,20,--Distribuidores de adubos (fertilizantes),06/02/2026,Industrial/Maquinário
8432.80.00,20,-Outras máquinas e aparelhos,06/02/2026,Industrial/Maquinário
8432.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8433.20.10,20,Com dispositivo de acondicionamento em fileiras constituído por rotor de dedos e pente,06/02/2026,Industrial/Maquinário
8433.30.00,20,-Outras máquinas e aparelhos para colher e dispor o feno,06/02/2026,Industrial/Maquinário
8433.40.00,20,"-Enfardadeiras de palha ou de forragem, incluindo as enfardadeiras-apanhadeiras",06/02/2026,Industrial/Maquinário
8433.59.19,"7,2",Outras,01/03/2026,Industrial/Maquinário
8433.60.10,20,Selecionadores de fruta,06/02/2026,Industrial/Maquinário
8433.60.21,"7,2",Com capacidade superior a 250.000 ovos por hora,01/03/2026,Industrial/Maquinário
8433.60.29,20,Outras,06/02/2026,Industrial/Maquinário
8433.60.90,20,Outras,06/02/2026,Industrial/Maquinário
8434.10.00,20,-Máquinas de ordenhar,06/02/2026,Industrial/Maquinário
8434.20.10,20,Para tratamento do leite,06/02/2026,Industrial/Maquinário
8434.20.90,20,Outros,06/02/2026,Industrial/Maquinário
8434.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8435.10.00,20,-Máquinas e aparelhos,06/02/2026,Industrial/Maquinário
8435.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8436.10.00,20,-Máquinas e aparelhos para preparação de alimentos ou rações para animais,06/02/2026,Industrial/Maquinário
8436.21.00,20,--Chocadeiras e criadeiras,06/02/2026,Industrial/Maquinário
8436.29.00,20,--Outros,06/02/2026,Industrial/Maquinário
8436.91.00,20,--De máquinas ou aparelhos para avicultura,06/02/2026,Industrial/Maquinário
8437.10.00,20,"-Máquinas para limpeza, seleção ou peneiração de grãos ou de produtos hortícolas secos",06/02/2026,Industrial/Maquinário
8437.80.10,20,Para trituração ou moagem de grãos,06/02/2026,Industrial/Maquinário
8437.80.90,20,Outros,06/02/2026,Industrial/Maquinário
8437.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8438.10.00,20,"-Máquinas e aparelhos para as indústrias de panificação, pastelaria, bolachas e biscoitos e de massas alimentícias",06/02/2026,Industrial/Maquinário
8438.20.11,"7,2","Para fabricar bombons de chocolate por moldagem, de capacidade de produção igual ou superior a 150 kg/h",01/03/2026,Industrial/Maquinário
8438.20.19,20,Outros,06/02/2026,Industrial/Maquinário
8438.20.90,20,Outros,06/02/2026,Industrial/Maquinário
8438.30.00,20,-Máquinas e aparelhos para a indústria de açúcar,06/02/2026,Industrial/Maquinário
8438.40.00,20,-Máquinas e aparelhos para a indústria cervejeira,06/02/2026,Industrial/Maquinário
8438.50.00,20,-Máquinas e aparelhos para preparação de carnes,06/02/2026,Industrial/Maquinário
8438.60.00,20,-Máquinas e aparelhos para preparação de fruta ou de produtos hortícolas,06/02/2026,Industrial/Maquinário
8438.80.10,20,Máquinas para extração de óleo essencial de citros,06/02/2026,Industrial/Maquinário
8438.80.20,"7,2","Automática, para descabeçar, cortar a cauda e eviscerar peixes, com capacidade superior a 350 unidades por minuto",01/03/2026,Industrial/Maquinário
8438.80.90,20,Outros,06/02/2026,Industrial/Maquinário
8438.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8439.10.10,20,Para tratamento preliminar das matérias-primas,06/02/2026,Industrial/Maquinário
8439.10.20,20,Classificadoras e classificadoras-depuradoras de pasta,06/02/2026,Industrial/Maquinário
8439.10.30,20,Refinadoras,06/02/2026,Industrial/Maquinário
8439.10.90,20,Outros,06/02/2026,Industrial/Maquinário
8439.20.00,20,-Máquinas e aparelhos para fabricação de papel ou cartão,06/02/2026,Industrial/Maquinário
8439.30.10,20,Bobinadoras-esticadoras,06/02/2026,Industrial/Maquinário
8439.30.20,20,Para impregnar,06/02/2026,Industrial/Maquinário
8439.30.30,20,Para ondular,06/02/2026,Industrial/Maquinário
8439.30.90,20,Outros,06/02/2026,Industrial/Maquinário
8439.91.00,20,--De máquinas ou aparelhos para fabricação de pasta de matérias fibrosas celulósicas,06/02/2026,Industrial/Maquinário
8439.99.10,"7,2","Rolos, corrugadores ou de pressão, de máquinas para ondular, com largura útil igual ou superior a 2.500 mm",01/03/2026,Industrial/Maquinário
8439.99.90,20,Outras,06/02/2026,Industrial/Maquinário
8440.10.11,"7,2",Com alimentação automática,01/03/2026,Industrial/Maquinário
